# wavelength (nm),inst_bkg (ph/s) 
9.320000000000027285e+02,5.717229664005337128e-87
9.321000000000027512e+02,5.853484914388695877e-87
9.322000000000027740e+02,5.992957100629030071e-87
9.323000000000027967e+02,6.135721453733705379e-87
9.324000000000028194e+02,6.281854947152170495e-87
9.325000000000028422e+02,6.431436336741133664e-87
9.326000000000028649e+02,6.584546201636396100e-87
9.327000000000028876e+02,6.741266986051304388e-87
9.328000000000029104e+02,6.901683042025655839e-87
9.329000000000029331e+02,7.065880673143807146e-87
9.330000000000029559e+02,7.233948179244020100e-87
9.331000000000029786e+02,7.405975902144253500e-87
9.332000000000030013e+02,7.582056272403110510e-87
9.333000000000030241e+02,7.762283857139714739e-87
9.334000000000030468e+02,7.946755408941380798e-87
9.335000000000030695e+02,8.135569915877216250e-87
9.336000000000030923e+02,8.328828652644442818e-87
9.337000000000031150e+02,8.526635232875125711e-87
9.338000000000031378e+02,8.729095662626712860e-87
9.339000000000031605e+02,8.936318395082546850e-87
9.340000000000031832e+02,9.148414386493011087e-87
9.341000000000032060e+02,9.365497153381502244e-87
9.342000000000032287e+02,9.587682831044757342e-87
9.343000000000032514e+02,9.815090233377458524e-87
9.344000000000032742e+02,1.004784091404885262e-86
9.345000000000032969e+02,1.028605922906306229e-86
9.346000000000033197e+02,1.052987240073510321e-86
9.347000000000033424e+02,1.077941058311012988e-86
9.348000000000033651e+02,1.103480692886543089e-86
9.349000000000033879e+02,1.129619765771857608e-86
9.350000000000034106e+02,1.156372212638461527e-86
9.351000000000034333e+02,1.183752290011190150e-86
9.352000000000034561e+02,1.211774582583385914e-86
9.353000000000034788e+02,1.240454010696843799e-86
9.354000000000035016e+02,1.269805837991284801e-86
9.355000000000035243e+02,1.299845679225530766e-86
9.356000000000035470e+02,1.330589508275871368e-86
9.357000000000035698e+02,1.362053666314322314e-86
9.358000000000035925e+02,1.394254870171575477e-86
9.359000000000036152e+02,1.427210220888243172e-86
9.360000000000036380e+02,1.460937212459109241e-86
9.361000000000036607e+02,1.495453740774129532e-86
9.362000000000036835e+02,1.530778112761060522e-86
9.363000000000037062e+02,1.566929055733741741e-86
9.364000000000037289e+02,1.603925726951282403e-86
9.365000000000037517e+02,1.641787723392046445e-86
9.366000000000037744e+02,1.680535091748038931e-86
9.367000000000037971e+02,1.720188338643688563e-86
9.368000000000038199e+02,1.760768441085047877e-86
9.369000000000038426e+02,1.802296857143580708e-86
9.370000000000038654e+02,1.844795536880676729e-86
9.371000000000038881e+02,1.888286933517146764e-86
9.372000000000039108e+02,1.932794014854567872e-86
9.373000000000039336e+02,1.978340274952400075e-86
9.374000000000039563e+02,2.024949746068326660e-86
